latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
42.5573,3.0267,,13C,PA00103948,Q15940494,Ancien château de Pujols,1956-05-02 ,fr:Château de Pujols (Pyrénées-Orientales)
42.599,2.9748,city_gate,,PA00104015,Q22954282,Porte de Collioure,1931-02-23 ,
42.812883,2.375107,tower,yes,PA00103986,Q22954273,"Tour d'angle, dite tour du Viguier",1982-12-16 ,
42.587405,2.368616,building,13C,PA00104170,Q22954370,Maison Verges Pierre,1965-11-03 ,
42.765,2.5147,,,PA00103951,Q3396343,Pont-aqueduc sur l'Agly,1974-04-19 ,fr:Pont-aqueduc d'Ansignan
42.449,3.157,archaeological_site,megalith,PA00103987,Q16031910,Dolmen,1889 ,fr:Dolmen de la Coma Enestapera
42.77,2.874,building,18C,PA00104108,Q22954334,Maison natale du maréchal Joffre,1938-04-20 ,
42.587215,2.368514,building,18C,PA00104168,Q22954367,Maison Tafanelli,1965-11-03 ,
42.58684,2.365773,building,,PA00104165,Q22954363,Maison Marty Joseph,1965-10-25 ,
42.5622,2.6253,yes,12C,PA00104104,Q2957349,Chapelle de la Trinité,1951-06-12 ,fr:Chapelle de la Trinité de Prunet-et-Belpuig
42.6962,2.559,yes,12C,PA00104048,Q22954298,Vestiges du château et enceinte fortifiée,1984-12-21 ,
42.6721,2.6194,place_of_worship,christian,PA00104037,Q22954290,Église paroissiale Saint-Etienne,1998-12-23 ,
42.64258,2.63987,archaeological_site,megalith,PA00104124,Q14627603,Dolmen du Mas Payrot,1959-11-26 ,fr:Dolmen du Mas Payrot
42.4046,2.4788,place_of_worship,christian,PA00104100,Q3582231,Église Saint-Juste-et-Sainte-Ruffine,1921-09-14 ,fr:Église Sainte-Juste-et-Sainte-Ruffine de Prats-de-Mollo-la-Preste
42.5866,2.3663,place_of_worship,christian,PA00104148,Q631078,Église Saint-Jacques,1862 ,fr:Église Saint-Jacques de Villefranche-de-Conflent
42.6324,2.6801,archaeological_site,megalith,PA00103975,Q11350791,Dolmen dit Le Caixeta,1959-10-07 ,fr:Caixeta
42.5157,1.9556,,12C,PA66000001,Q3582626,Ancienne chapelle Saint-Martin d'En Valls,1996-03-28 ,fr:Église Saint-Martin d'Envalls
42.586931,2.366813,building,14C,PA00104163,Q22954360,Maison Laporte,1965-10-25 ,
42.3666,2.4901,,17C,PA00104184,Q18009258,Ermitage Notre-Dame-du-Coral,1990-04-18 ,fr:Ermitage Notre-Dame-du-Coral
42.6042,2.9552,,19C,PA66000037,Q3298467,"Ancienne maternité Suisse d'Elne, ancien château d'En Bardou",2013-03-04 ,fr:Maternité suisse d'Elne
42.699,2.8981,,15C,PA00104088,Q22954323,Pierre incrustée,1965-09-21 ,
42.587038,2.366433,building,,PA00104171,Q22954372,Maison Py Cécile,1965-10-25 ,
42.7283,2.4419,,10C,PA00104136,Q3585052,Ancienne église Sainte-Félicité,1965-08-02 ,fr:Église Sainte-Félicité de Sournia
42.6994,2.8947,building,14C,PA00104079,Q22954316,Hôtel de ville,1886-07-12 ,
42.6461,2.5678,place_of_worship,christian,PA00132617,Q3585190,Église Notre-Dame de Domanova,1994-02-23 ,fr:Église Notre-Dame de Domanova
