latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
43.92361,5.38583,,C18,PA84000040,Q22980721,Domaine de Bourgane,3,2003-06-23 ,
43.95333,4.81138,,,PA00081896,Q22916695,Immeubles,3,1934-02-01 ,
43.91889,5.05127,building,C16,PA00082056,Q22919147,Maison Renaissance,3,1961-04-24 ,
43.94599,4.80762,building,,PA00081861,Q22916650,Hôtel de Luynes,3,1932-10-04 ,
43.8643,5.24232,place_of_worship,christian,PA00082046,Q22919135,Église paroissiale Saint-Sébastien,3,1929-10-11 ,
43.95254,4.80643,,C14,PA00081945,Q22919067,"Ancien petit séminaire, dit Petit Palais ou Palais Jules II, actuellement Musée du Petit Palais",,,fr:Musée du Petit Palais (Avignon)
44.018118436959,5.2307260036469,,,PA00082079,Q22919163,Gisement mésolithique dit de Gramari,2,1970-03-24 ,
43.950943,4.803539,building,,PA00081907,Q22919005,Immeuble dit Maison des Chartreux,3,1982-02-14 ,
43.94872,4.80471,,C18,PA00132746,Q22975588,Ancien hôtel de Ratta,3,1994-05-11 ,
43.8377446,5.0370096,yes,,PA00082021,Q22919115,Chapelle Saint-Benoît,3,1948-12-13 ,fr:Chapelle Saint-Benoît de Cavaillon
43.945,4.98583,monastery,monastery,PA00082172,,Monastère fortifié de Thouzon (ancien),3,1987-06-18 ,fr:Château de Thouzon
44.13846308696,4.8064810037613,building,C12,PA00082099,Q22986509,"Maison médiévale, dite Maison romane",2,1991-09-13 ,
43.83428,5.20355,,C17,PA84000021,Q22980695,"Ancien hôtel Astier de Montfaucon, puis ancien hospice",3,1998-03-18 ,
43.94725,4.81221,,C19,PA00082218,Q22986645,Etablissement de bains Pommer (ancien),2,1992-03-31 ,
43.94506,4.80946,,,PA00081813,Q22916611,Aumône générale (ancienne),3,1956-05-02 ,
43.82718,5.16092,wayside_cross,,PA00082093,Q22986504,Croix romane située devant l'église,3,1934-07-12 ,
44.055936,5.046956,building,,PA00082005,Q22919107,Hôtel Chabrol,3,1949-10-28 ,
44.384703,4.988961,building,,PA00082195,Q15950556,Hôtel d'Inguimbert,2,1975-11-07 ,fr:Hôtel d'Inguimbert
44.055676,5.048792,building,C14,PA00082007,Q22919108,Hôtel Poupardin dit Maison du Prélat,3,1978-03-30 ,
43.910931,5.20097,building,,PA00082043,Q22919132,Maison Lhote,3,1949-10-28 ,
44.06748,5.02564,,C19,PA84000030,Q22980707,Pont-aqueduc des Cinq-Cantons (ouvrage d'art du canal de Carpentras),3,2001-11-06 ,fr:Pont-aqueduc des Cinq-Cantons
43.828039,5.159935,,C13,PA84000006,Q22980653,"Maison, à Oppède-le-Vieux, dite maison Gabrielli",3,1996-09-16 ,
43.94677,4.80838,building,,PA00081855,Q22916642,Hôtel Fortia de Montréal,,,
43.94408,5.38344,building,C17,PA00082155,Q22986551,Maison Silvestre,3,1934-03-26 ,
